,Word,Uncertainty,Litigious,Positive,Negative
289,assure,0,0,0,0
290,assured,0,0,0,0
291,assures,0,0,1,0
292,assuring,0,0,0,0
293,attain,0,0,1,0
294,attained,0,0,1,0
295,attaining,0,0,1,0
296,attainment,0,0,0,0
297,attainments,0,0,0,0
298,attains,0,0,1,0
299,attest,0,0,0,0
300,attestation,0,0,0,0
301,attestations,0,0,0,0
302,attested,0,0,0,0
303,attesting,0,1,0,0
304,attorn,0,0,0,0
305,attorney,0,0,0,0
306,attorneys,0,0,0,0
307,attornment,0,0,0,0
308,attorns,0,0,0,0
309,attractive,0,0,1,0
310,attractiveness,0,0,0,0
311,attrition,0,0,0,1
312,aversely,0,0,0,1
313,backdating,0,0,0,1
314,bad,0,0,0,0
315,bail,0,0,0,0
316,bailed,0,0,0,0
317,bailee,0,0,0,0
318,bailees,0,0,0,0
319,bailiff,0,0,0,0
320,bailiffs,0,0,0,0
321,bailment,0,0,0,0
322,bailout,0,0,0,1
323,balk,0,0,0,0
324,balked,0,0,0,0
325,bankrupt,0,0,0,1
326,bankruptcies,0,0,0,1
327,bankruptcy,0,1,0,0
328,bankrupted,0,0,0,0
329,bankrupting,0,0,0,0
330,bankrupts,0,0,0,0
331,bans,0,0,0,1
332,barred,0,0,0,1
333,barrier,0,0,0,0
334,barriers,0,0,0,0
335,beautiful,0,0,1,0
336,beautifully,0,0,0,0
337,believe,1,0,0,0
338,believed,1,0,0,0
339,believes,1,0,0,0
340,believing,0,0,0,0
341,beneficial,0,0,0,0
342,beneficially,0,0,0,0
343,beneficiated,0,0,0,0
344,beneficiation,0,0,0,0
345,benefit,0,0,0,0
346,benefited,0,0,1,0
347,benefiting,0,0,1,0
348,benefitted,0,0,1,0
349,benefitting,0,0,1,0
350,best,0,0,1,0
351,better,0,0,1,0
352,bolstered,0,0,1,0
353,bolstering,0,0,0,0
354,bolsters,0,0,0,0
355,bona,0,0,0,0
356,bonafide,0,0,0,0
357,boom,0,0,0,0
358,booming,0,0,1,0
359,boost,0,0,1,0
360,boosted,0,0,1,0
361,bottleneck,0,0,0,1
362,bottlenecks,0,0,0,1
363,boycott,0,0,0,1
364,boycotted,0,0,0,0
365,boycotting,0,0,0,0
366,boycotts,0,0,0,1
367,breach,0,0,0,1
368,breached,0,0,0,1
369,breaches,0,0,0,1
370,breaching,0,0,0,0
371,break,0,0,0,1
372,breakage,0,0,0,0
373,breakages,0,0,0,0
374,breakdown,0,0,0,1
375,breakdowns,0,0,0,1
376,breaking,0,0,0,0
377,breaks,0,0,0,1
378,breakthrough,0,0,1,0
379,breakthroughs,0,0,1,0
380,bribe,0,0,0,1
381,bribed,0,0,0,0
382,briberies,0,0,0,0
383,bribery,0,0,0,0
384,bribes,0,0,0,1
385,bribing,0,0,0,1
386,bridge,0,0,0,0
387,brilliant,0,0,1,0
388,broken,0,0,0,0
389,burden,0,0,0,0
390,burdened,0,0,0,0
391,burdening,0,0,0,1
392,burdens,0,0,0,0
393,burdensome,0,0,0,1
394,burned,0,0,0,0
395,calamities,0,0,0,1
396,calamitous,0,0,0,0
397,calamity,0,0,0,1
398,cancel,0,0,0,1
399,canceled,0,0,0,1
400,canceling,0,0,0,1
401,cancellation,0,0,0,1
402,cancellations,0,0,0,1
403,cancelled,0,0,0,1
404,cancelling,0,0,0,1
405,cancels,0,0,0,1
406,careless,0,0,0,0
407,carelessly,0,0,0,0
408,carelessness,0,0,0,0
409,catastrophe,0,0,0,0
410,catastrophes,0,0,0,0
411,catastrophic,0,0,0,1
412,catastrophically,0,0,0,0
413,caution,0,0,0,0
414,cautionary,0,0,0,0
415,cautioned,0,0,0,0
416,cautioning,0,0,0,1
417,cautions,0,0,0,0
418,cautious,0,0,0,0
419,cautiously,0,0,0,0
420,cautiousness,0,0,0,1
421,cease,0,0,0,1
422,ceased,0,0,0,0
423,ceases,0,0,0,1
424,ceasing,0,0,0,1
425,cedant,0,1,0,0
426,cedants,0,1,0,0
427,censure,0,0,0,0
428,censured,0,0,0,0
429,censures,0,0,0,0
430,censuring,0,0,0,0
431,certiorari,0,0,0,0
432,cession,0,1,0,0
433,challenge,0,0,0,1
434,challenged,0,0,0,1
435,challenges,0,0,0,0
436,challenging,0,0,0,0
437,chargeoffs,0,0,0,0
438,charitable,0,0,0,0
439,chattel,0,0,0,0
440,chattels,0,0,0,0
441,choate,0,0,0,0
442,circumvent,0,0,0,1
443,circumvented,0,0,0,0
444,circumventing,0,0,0,1
445,circumvention,0,0,0,1
446,circumventions,0,0,0,0
447,circumvents,0,0,0,1
448,claim,0,0,0,0
449,claimable,0,0,0,0
450,claimant,0,0,0,0
451,claimants,0,1,0,0
452,claimholder,0,0,0,0
453,claiming,0,0,0,0
454,claims,0,0,0,0
455,clarification,0,0,0,0
456,clarifications,0,0,0,0
457,clawback,0,0,0,0
458,clawbacks,0,0,0,0
459,closed,0,0,0,0
460,closeout,0,0,0,0
461,closeouts,0,0,0,0
462,closing,0,0,0,0
463,closings,0,0,0,0
464,closure,0,0,0,1
465,closures,0,0,0,1
466,codefendant,0,0,0,0
467,codefendants,0,1,0,0
468,codicil,0,0,0,0
469,codicils,0,0,0,0
470,codification,0,0,0,0
471,codifications,0,0,0,0
472,codified,0,0,0,0
473,codifies,0,0,0,0
474,codify,0,0,0,0
475,codifying,0,0,1,0
476,coerce,0,0,0,1
477,coerced,0,0,0,0
478,coerces,0,0,0,0
479,coercing,0,0,0,0
480,coercion,0,0,0,1
481,coercive,0,0,0,0
482,collaborate,0,0,1,0
483,collaborated,0,0,1,0
484,collaborates,0,0,1,0
485,collaborating,0,0,1,0
486,collaboration,0,0,1,0
487,collaborations,0,0,1,0
488,collaborative,0,0,1,0
489,collaborator,0,0,0,0
490,collaborators,0,0,1,0
491,collapse,0,0,0,1
492,collapsed,0,0,0,1
493,collapses,0,0,0,1
494,collapsing,0,0,0,1
495,collision,0,0,0,0
496,collisions,0,0,0,1
497,collude,0,0,0,0
498,colluded,0,0,0,1
499,colludes,0,0,0,0
500,colluding,0,0,0,0
501,collusion,0,0,0,0
502,collusions,0,0,0,0
503,collusive,0,0,0,1
504,compensatory,0,0,0,0
505,complain,0,0,0,1
506,complainant,0,0,0,0
507,complainants,0,0,0,0
508,complained,0,0,0,0
509,complaining,0,0,0,0
510,complains,0,0,0,0
511,complaint,0,0,0,0
512,complaints,0,0,0,0
513,complicate,0,0,0,1
514,complicated,0,0,0,0
515,complicates,0,0,0,0
516,complicating,0,0,0,0
517,complication,0,0,0,1
518,complications,0,0,0,1
519,compliment,0,0,1,0
520,complimentary,0,0,1,0
521,complimented,0,0,1,0
522,complimenting,0,0,0,0
523,compliments,0,0,1,0
524,compulsion,0,0,0,0
525,concealed,0,0,0,1
526,concealing,0,0,0,0
527,concede,0,0,0,0
528,conceded,0,0,0,0
529,concedes,0,0,0,0
530,conceding,0,0,0,0
531,conceivable,0,0,0,0
532,conceivably,0,0,0,1
533,concern,0,0,0,0
534,concerned,0,0,0,1
535,concerns,0,0,0,1
536,conciliating,0,0,0,0
537,conciliation,0,1,0,0
538,conciliations,0,0,0,0
539,conclusive,0,0,0,0
540,conclusively,0,0,0,0
541,condemn,0,0,0,0
542,condemnation,0,0,0,0
543,condemnations,0,0,0,0
544,condemned,0,0,0,1
545,condemning,0,0,0,0
546,condemnor,0,0,0,0
547,condemns,0,0,0,0
548,conditional,0,0,0,0
549,conditionally,0,1,0,0
550,condone,0,0,0,0
551,condoned,0,0,0,0
552,conducive,0,0,1,0
553,confess,0,0,0,0
554,confessed,0,0,0,0
555,confesses,0,0,0,0
556,confessing,0,0,0,0
557,confession,0,1,0,0
558,confident,0,0,1,0
559,confine,0,0,0,1
560,confined,0,0,0,1
561,confinement,0,0,0,0
562,confinements,0,0,0,0
563,confines,0,0,0,0
564,confining,0,0,0,0
565,confiscate,0,0,0,1
566,confiscated,0,0,0,1
567,confiscates,0,0,0,0
568,confiscating,0,0,0,0
569,confiscation,0,0,0,1
570,confiscations,0,0,0,0
571,confiscatory,0,0,0,0
572,conflict,0,0,0,1
573,conflicted,0,0,0,0
574,conflicting,0,0,0,0
575,conflicts,0,0,0,0
576,confront,0,0,0,1
577,confrontation,0,0,0,0
578,confrontational,0,0,0,0
579,confrontations,0,0,0,0
580,confronted,0,0,0,1
581,confronting,0,0,0,1
582,confronts,0,0,0,0
583,confuse,0,0,0,1
584,confused,0,0,0,1
585,confuses,0,0,0,0
586,confusing,0,0,0,1
587,confusingly,0,0,0,0
588,confusion,0,0,0,1
589,consent,0,0,0,0
590,consented,0,0,0,0
591,consenting,0,1,0,0
592,consents,0,0,0,0
593,conservatorships,0,0,0,0
594,conspiracies,0,0,0,1
595,conspiracy,0,0,0,0
596,conspirator,0,0,0,0
597,conspiratorial,0,0,0,0
598,conspirators,0,0,0,0
599,conspire,0,0,0,0
600,conspired,0,0,0,1
601,conspires,0,0,0,0
602,conspiring,0,0,0,1
603,constitution,0,1,0,0
604,constitutional,0,0,0,0
605,constitutionality,0,1,0,0
606,constitutionally,0,1,0,0
607,constitutions,0,1,0,0
608,constitutive,0,0,0,0
609,constructive,0,0,0,0
610,constructively,0,0,0,1
611,construe,0,0,0,0
612,construed,0,0,0,0
613,construes,0,0,0,0
614,construing,0,0,0,0
615,contempt,0,0,0,0
616,contend,0,0,0,1
617,contended,0,0,0,1
618,contending,0,0,0,0
619,contends,0,0,0,0
620,contention,0,0,0,0
621,contentions,0,1,0,0
622,contentious,0,0,0,0
623,contentiously,0,0,0,0
624,contestability,0,0,0,0
625,contestation,0,0,0,0
626,contested,0,0,0,1
627,contesting,0,0,0,0
628,contingencies,0,1,0,0
629,contingency,0,0,0,0
630,contingent,0,0,0,0
631,contingently,0,0,0,0
632,contingents,0,0,0,0
633,contract,0,1,0,0
634,contracted,0,0,0,0
635,contractholder,0,0,0,0
636,contractholders,0,1,0,0
637,contractible,0,0,0,0
638,contractile,0,0,0,1
639,contracting,0,0,0,0
640,contraction,0,0,0,1
641,contractions,0,0,0,1
642,contracts,0,0,0,0
643,contractual,0,0,0,0
644,contractually,0,0,0,0
645,contradict,0,0,0,0
646,contradicted,0,0,0,0
647,contradicting,0,0,0,0
648,contradiction,0,0,0,0
649,contradictions,0,0,0,0
650,contradictory,0,0,0,0
651,contradicts,0,0,0,0
652,contrary,0,0,0,0
653,contravene,0,0,0,0
654,contravened,0,0,0,0
655,contravenes,0,0,0,0
656,contravening,0,0,0,0
657,contravention,0,0,0,0
658,contraventions,0,0,0,0
659,controversial,0,0,0,0
660,controversies,0,0,0,1
661,controversy,0,0,0,1
662,controvert,0,0,0,0
663,controverted,0,0,0,0
664,controverting,0,0,0,0
665,conveniens,0,0,0,0
666,conveyance,0,1,0,0
667,conveyances,0,1,0,0
668,convict,0,0,0,1
669,convicted,0,0,0,0
670,convicting,0,0,0,0
671,conviction,0,0,0,1
672,convictions,0,0,0,0
673,corrected,0,0,0,1
674,correcting,0,0,0,1
675,correction,0,0,0,1
676,corrections,0,0,0,0
677,corrects,0,0,0,1
678,corrupt,0,0,0,0
679,corrupted,0,0,0,1
680,corrupting,0,0,0,1
681,corruption,0,0,0,0
682,corruptions,0,0,0,0
683,corruptly,0,0,0,0
684,corruptness,0,0,0,0
685,costly,0,0,0,1
686,coterminous,0,0,0,0
687,could,1,0,0,0
688,counsel,0,0,0,0
689,counseled,0,0,0,0
690,counselled,0,0,0,0
691,counsels,0,1,0,0
692,counterclaim,0,0,0,0
693,counterclaimed,0,0,0,0
694,counterclaiming,0,0,0,0
695,counterclaims,0,0,0,0
696,counterfeit,0,0,0,1
697,counterfeited,0,0,0,0
698,counterfeiter,0,0,0,0
699,counterfeiters,0,0,0,1
700,counterfeiting,0,0,0,1
701,counterfeits,0,0,0,1
702,countermeasure,0,0,0,0
703,countermeasures,0,0,0,0
704,countersignor,0,0,0,0
705,countersued,0,0,0,0
706,countersuit,0,0,0,0
707,countersuits,0,0,0,0
708,court,0,1,0,0
709,courteous,0,0,1,0
710,courtroom,0,0,0,0
711,courts,0,1,0,0
712,creative,0,0,1,0
713,creatively,0,0,1,0
714,creativeness,0,0,0,0
715,creativity,0,0,1,0
716,crime,0,0,0,0
717,crimes,0,0,0,0
718,criminal,0,0,0,0
719,criminality,0,0,0,0
720,criminalize,0,0,0,0
721,criminalizing,0,0,0,0
722,criminally,0,0,0,1
723,criminals,0,0,0,1
724,crises,0,0,0,1
725,crisis,0,0,0,1
726,critical,0,0,0,0
727,critically,0,0,0,0
728,criticism,0,0,0,1
729,criticisms,0,0,0,0
730,criticize,0,0,0,0
731,criticized,0,0,0,1
732,criticizes,0,0,0,0
733,criticizing,0,0,0,0
734,crossclaim,0,1,0,0
735,crossclaims,0,0,0,0
736,crossroad,0,0,0,0
737,crossroads,0,0,0,0
738,crucial,0,0,1,0
739,crucially,0,0,0,0
740,culpability,0,0,0,0
741,culpable,0,0,0,0
742,culpably,0,0,0,0
743,cumbersome,0,0,0,0
744,curtail,0,0,0,1
745,curtailed,0,0,0,1
746,curtailing,0,0,0,1
747,curtailment,0,0,0,1
748,curtailments,0,0,0,1
749,curtails,0,0,0,1
750,cut,0,0,0,1
751,cutback,0,0,0,1
752,cutbacks,0,0,0,1
753,cyberattack,0,0,0,1
754,cyberattacks,0,0,0,1
755,cyberbullying,0,0,0,0
756,cybercrime,0,0,0,1
757,cybercrimes,0,0,0,0
758,cybercriminal,0,0,0,0
759,cybercriminals,0,0,0,1
760,damage,0,0,0,1
761,damaged,0,0,0,1
762,damages,0,0,0,0
763,damaging,0,0,0,1
764,dampen,0,0,0,1
765,dampened,0,0,0,0
766,danger,0,0,0,1
767,dangerous,0,0,0,1
768,dangerously,0,0,0,1
769,dangers,0,0,0,1
770,deadlock,0,0,0,1
771,deadlocked,0,0,0,0
772,deadlocking,0,0,0,0
773,deadlocks,0,0,0,1
774,deadweight,0,0,0,0
775,deadweights,0,0,0,0
776,debarment,0,0,0,1
777,debarments,0,0,0,0
778,debarred,0,0,0,1
779,deceased,0,0,0,0
780,decedent,0,0,0,0
781,decedents,0,0,0,0
782,deceit,0,0,0,0
783,deceitful,0,0,0,0
784,deceitfulness,0,0,0,0
785,deceive,0,0,0,1
786,deceived,0,0,0,0
787,deceives,0,0,0,0
788,deceiving,0,0,0,1
789,deception,0,0,0,1
790,deceptions,0,0,0,0
791,deceptive,0,0,0,0
792,deceptively,0,0,0,0
793,declarant,0,0,0,0
794,decline,0,0,0,1
795,declined,0,0,0,0
796,declines,0,0,0,1
797,declining,0,0,0,1
798,decree,0,1,0,0
799,decreed,0,1,0,0
800,decreeing,0,0,0,0
801,decrees,0,0,0,0
802,deface,0,0,0,0
803,defaced,0,0,0,0
804,defacement,0,0,0,0
805,defalcation,0,0,0,1
806,defalcations,0,0,0,1
807,defamation,0,0,0,0
808,defamations,0,0,0,0
809,defamatory,0,0,0,1
810,defame,0,0,0,0
811,defamed,0,0,0,1
812,defames,0,0,0,0
813,defaming,0,0,0,0
814,default,0,0,0,1
815,defaulted,0,0,0,1
816,defaulting,0,0,0,1
817,defaults,0,0,0,1
818,defeasance,0,0,0,0
819,defeasances,0,0,0,0
820,defease,0,1,0,0
821,defeased,0,0,0,0
822,defeasement,0,0,0,0
823,defeases,0,0,0,0
824,defeasing,0,0,0,0
825,defeat,0,0,0,1
826,defeated,0,0,0,0
827,defeating,0,0,0,1
828,defeats,0,0,0,0
829,defect,0,0,0,1
830,defective,0,0,0,1
831,defectively,0,0,0,0
832,defects,0,0,0,1
833,defend,0,0,0,1
834,defendable,0,0,0,0
835,defendant,0,0,0,0
836,defendants,0,0,0,0
837,defended,0,0,0,1
838,defending,0,0,0,0
839,defends,0,0,0,0
840,defensive,0,0,0,1
841,defer,0,0,0,0
842,deference,0,1,0,0
843,deficiencies,0,0,0,1
844,deficiency,0,0,0,0
845,deficient,0,0,0,1
846,deficit,0,0,0,0
847,deficits,0,0,0,1
848,defraud,0,0,0,0
849,defrauded,0,0,0,0
850,defrauding,0,0,0,1
851,defrauds,0,0,0,0
852,defunct,0,0,0,0
853,degradation,0,0,0,1
854,degradations,0,0,0,1
855,degrade,0,0,0,1
856,degraded,0,0,0,1
857,degrades,0,0,0,1
858,degrading,0,0,0,1
859,delay,0,0,0,1
860,delayed,0,0,0,1
861,delaying,0,0,0,1
862,delays,0,0,0,1
863,delegable,0,0,0,0
864,delegatable,0,0,0,0
865,delegatee,0,0,0,0
866,delegees,0,0,0,0
867,deleterious,0,0,0,1
868,deliberate,0,0,0,1
869,deliberated,0,0,0,0
870,deliberately,0,0,0,1
871,delight,0,0,1,0
872,delighted,0,0,0,0
873,delightful,0,0,0,0
874,delightfully,0,0,0,0
875,delighting,0,0,0,0
876,delights,0,0,1,0
877,delinquencies,0,0,0,1
878,delinquency,0,0,0,1
879,delinquent,0,0,0,1
880,delinquently,0,0,0,0
881,delinquents,0,0,0,0
882,delist,0,0,0,1
883,delisted,0,0,0,1
884,delisting,0,0,0,1
885,delists,0,0,0,0
886,demise,0,0,0,1
887,demised,0,0,0,0
888,demises,0,0,0,0
889,demising,0,0,0,0
890,demolish,0,0,0,0
891,demolished,0,0,0,0
892,demolishes,0,0,0,0
893,demolishing,0,0,0,1
894,demolition,0,0,0,1
895,demolitions,0,0,0,0
896,demote,0,0,0,0
897,demoted,0,0,0,0
898,demotes,0,0,0,0
899,demoting,0,0,0,0
900,demotion,0,0,0,0
901,demotions,0,0,0,0
902,demurred,0,0,0,0
903,demurrer,0,0,0,0
904,demurrers,0,0,0,0
905,demurring,0,0,0,0
906,demurs,0,0,0,0
907,denial,0,0,0,1
908,denials,0,0,0,1
909,denied,0,0,0,0
910,denies,0,0,0,1
911,denigrate,0,0,0,0
912,denigrated,0,0,0,0
913,denigrates,0,0,0,0
914,denigrating,0,0,0,0
915,denigration,0,0,0,0
916,deny,0,0,0,1
917,denying,0,0,0,1
918,depend,1,0,0,0
919,dependability,0,0,1,0
920,dependable,0,0,1,0
921,depended,0,0,0,0
922,dependence,0,0,0,0
923,dependencies,0,0,0,0
924,dependency,0,0,0,0
925,dependent,1,0,0,0
926,depending,1,0,0,0
927,depends,1,0,0,0
928,deplete,0,0,0,1
929,depleted,0,0,0,1
930,depletes,0,0,0,1
931,depleting,0,0,0,0
932,depletion,0,0,0,1
933,depletions,0,0,0,0
934,depose,0,0,0,0
935,deposed,0,0,0,0
936,deposes,0,0,0,0
937,deposing,0,0,0,0
938,deposition,0,0,0,0
939,depositional,0,0,0,0
940,depositions,0,0,0,0
941,deprecation,0,0,0,0
942,depress,0,0,0,0
943,depressed,0,0,0,1
944,depresses,0,0,0,1
945,depressing,0,0,0,1
946,deprivation,0,0,0,1
947,deprive,0,0,0,0
948,deprived,0,0,0,1
949,deprives,0,0,0,0
950,depriving,0,0,0,1
951,derelict,0,0,0,0
952,dereliction,0,0,0,0
953,derogate,0,0,0,0
954,derogated,0,0,0,0
955,derogates,0,0,0,0
956,derogating,0,0,0,0
957,derogation,0,0,0,0
958,derogations,0,0,0,0
959,derogatory,0,0,0,1
960,designator,0,0,0,0
961,desirable,0,0,1,0
962,desired,0,0,1,0
963,desist,0,0,0,0
964,despite,0,0,0,0
965,destabilization,0,0,0,1
966,destabilize,0,0,0,1
967,destabilized,0,0,0,0
968,destabilizing,0,0,0,1
969,destined,0,0,0,0
970,destroy,0,0,0,1
971,destroyed,0,0,0,1
